fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
5k2/5r2/p4NpP/1p6/2r1p2P/3bP1K1/1Q6/8 w - - 7 51,4.71,0.63,-0.114,0.0,target,endgame,train
r7/1pq2pkn/6p1/4pb1p/2PRN2P/pP2QP2/P3B1P1/1KR5 b - - 0 30,-1.31,0.16,7.212,0.0,target,midgame,train
2Q5/6pk/p3p3/3pP3/3P3p/5P1P/4K3/6q1 b - - 3 61,-3.59,-1.71,-1.322,0.0,target,endgame,train
3R4/1k3p2/p2b3p/1p1P3P/nP3P2/P2R4/5r2/1K6 b - - 11 48,-1.51,-2.42,-0.765,0.0,target,endgame,train
8/8/5Pk1/8/P5pB/4p2p/7K/8 w - - 0 52,1.82,1.25,0.379,0.0,target,adveg,val
8/8/8/6b1/3kp2p/7P/4K1N1/8 b - - 25 74,0.0,0.0,-6.168,0.0,crowded_safe,adveg,val
r1bqr1k1/pp3pp1/7p/2Rp4/5Q2/1P1P1NP1/P2N1nBP/2K4R b - - 0 16,-2.29,-0.73,1.962,0.0,target,opening,train
8/8/8/5r2/pkpp4/6R1/4K3/4N3 b - - 7 90,-1.06,-0.75,-5.659,0.0,target,endgame,val
7r/2p5/1p1pPk2/p1P1nP2/P3KR1p/7P/2P3P1/1R6 b - - 0 35,1.09,4.46,8.493,0.0,target,endgame,train
8/8/8/6p1/3kb2p/6PP/5K2/8 b - - 0 66,0.0,-4.38,-9.465,0.0,calm,adveg,train
7R/8/8/2k5/p1pp4/8/4K3/4Nr2 b - - 1 87,0.0,-0.5,-5.345,0.0,crowded_safe,endgame,val
6k1/1p1Q2p1/8/2Pn4/p2P2P1/P5KP/1P2rr2/8 b - - 1 47,-5.16,-3.27,-0.385,0.0,target,endgame,train
8/3k3p/p2BN1p1/8/2p5/2P2PP1/P1r4P/3R1K1R w - - 1 28,0.0,8.19,21.133,0.0,calm,endgame,train
5r1k/1b3pp1/8/q3r3/Pn3Q1P/1PR1PP2/6P1/5K1R w - - 1 27,-1.44,-4.49,-3.777,0.0,target,midgame,train
2q1k3/8/1ppPp3/3n3p/r2P4/2PB2QP/5PK1/1R6 w - - 0 30,2.76,4.65,3.485,2.76,working,midgame,train
3qr2k/1b1r1pp1/4n3/8/P3P2P/1P2RPQ1/6P1/6KR b - - 8 34,-1.38,-5.06,-5.093,0.0,target,midgame,train
1k1r3r/pp2pp2/1qp1bnpb/8/2PPP1Pp/1P3B1N/PB2Q1KP/R2R4 w - - 1 22,-1.26,1.23,-3.354,-1.26,ks_phantom,opening,train
r1bqkb1r/1ppn2pp/p1B2p2/4p3/4P3/2N1BN2/PPP2PPP/R2Q1RK1 b kq - 0 9,1.19,0.84,4.881,0.0,target,opening,val
N5k1/8/5p2/6pq/P2P4/1P2P1Pb/2rB1K1P/4Q3 b - - 6 33,-2.04,-1.34,-1.737,-2.04,ks_real,midgame,train
1r1r3k/2p1b1p1/7p/p1PqP1p1/P1R3P1/1PQ1RP2/7P/6K1 w - - 7 46,-1.91,-4.11,-0.82,0.0,target,midgame,train
kqr1r3/4Pp2/p1p2Pp1/Bp6/2P1R2p/PP1R1Q1P/5N2/2b2K2 w - - 8 48,-1.44,6.45,4.479,-1.44,working,midgame,val
4k1r1/1q3p1p/2n1p1pB/1r3bN1/1p6/1Q2PB2/1R3PPP/5RK1 w - - 2 23,1.22,5.73,4.262,0.0,target,opening,train
1k1r3r/pp2pp2/2p1bnpb/q7/3PP1Pp/1PP2B1N/PB2QK1P/R2R4 b - - 8 19,-1.48,-0.01,-2.533,0.0,target,opening,train
5r2/2k5/4p3/4p1pp/PbP1P2n/1P3P1P/2P1K2R/5R2 w - - 5 39,0.0,-0.43,3.234,0.0,crowded_safe,endgame,train
N5k1/8/5p2/6pq/P2P4/1P2P1Pb/2rB3P/4Q1K1 w - - 5 33,-1.77,-0.6,2.243,-1.77,ks_phantom,midgame,train
8/8/3p2k1/3n3p/3N2p1/R2bP3/1r3r2/4K2R w - - 0 42,-8.29,-5.88,-9.699,0.0,target,endgame,train
5k2/p4p1B/2P5/2qn4/4p3/6P1/4P1KP/4R3 b - - 2 38,-1.82,-5.58,-8.585,0.0,target,endgame,train
4r1k1/1p2qpp1/4b3/p2Q2p1/P7/3Bp2P/1P3P2/3KR3 w - - 2 27,-1.14,-4.86,-2.394,-1.14,working,midgame,train
8/8/6p1/2Kpkp1p/1p5P/1P2PPP1/8/8 w - - 3 47,0.0,2.41,0.299,0.0,calm,adveg,train
8/3N2k1/1PK4p/6PP/p4P2/r7/8/8 w - - 0 74,0.0,5.95,4.946,0.0,calm,adveg,train
3r4/1kr5/1p2R1R1/1Bp3pp/P2b4/5P1P/2K5/8 b - - 8 40,3.59,0.24,-3.951,0.0,target,endgame,val
rn1q1b1r/4kp2/1p2pnpp/pQ1pN3/3P3P/P1N1P3/1P3PP1/R1B2K1R w - - 0 13,1.98,1.68,4.568,1.98,ks_phantom,opening,val
2b2rk1/6pp/1qp1pP2/1p1nP3/r7/P4BP1/1BQ2P1P/R4RK1 b - - 0 23,1.8,2.75,2.327,1.8,ks_real,opening,train
2kr1n1r/ppq1ppb1/2ppNnpp/P7/1PPP4/2NBP2P/5PP1/R1BQ1RK1 b - - 0 14,1.68,3.5,2.224,0.0,target,opening,train
8/p6p/5p2/4p1k1/4P1P1/p2P1K2/8/8 w - - 0 46,0.0,-6.5,-6.166,0.0,calm,adveg,val
2kr4/5qp1/1p1rpn2/1B2Q3/2PP3p/1R2B2P/3N1P1K/8 b - - 14 44,2.7,5.02,5.849,2.7,working,midgame,train
r2q1rk1/1p2p1bp/p1n3p1/2ppPB2/P2P2b1/N1P1BN2/1P4PP/R2Q1RK1 b - - 0 13,1.63,-0.47,2.957,0.0,target,opening,train
3n4/8/pp3p2/5P2/PKPk4/8/B7/8 w - - 13 55,0.0,-0.9,-0.165,0.0,calm,adveg,train
4R3/1k6/1Bp5/4K3/2P3p1/8/3r1PP1/8 w - - 1 64,4.3,5.52,8.977,0.0,target,endgame,train
8/4R3/4nr2/p2pk3/2p5/2P5/P3N3/3K4 w - - 4 58,0.0,-0.66,-3.696,0.0,crowded_safe,endgame,train
6k1/8/8/5PPP/8/5K2/8/8 w - - 1 44,1.12,6.41,10.023,0.0,target,adveg,train
5k2/7R/8/5PPP/1b2K3/p7/P4P2/8 w - - 1 47,4.31,11.62,13.925,0.0,target,adveg,train
2r5/1pr4k/p3p2P/1n1p2P1/1P1P1P2/1RPKP3/2R5/8 w - - 23 52,-1.8,-0.59,2.589,0.0,target,endgame,train
4r1k1/1p1q1p2/6p1/3P4/2P1nb2/Pp3Q1P/5PKP/4R3 b - - 0 41,-1.8,-6.52,-10.837,-1.8,ks_phantom,midgame,val
r3kb1r/p1p5/3p1p2/2p1p2p/2P1n2N/1P4Pp/PB2K3/R5R1 w kq - 0 23,-1.02,-4.63,-8.761,-1.02,ks_phantom,endgame,val
5rk1/4r1bp/1p3p2/4pQ2/1qP5/2N3P1/2R2PB1/5NK1 b - - 8 37,1.44,2.41,3.107,1.44,ks_real,midgame,train
r4rk1/1p3pp1/2n5/pB1p2q1/3PnNb1/1PB1P1Pp/P6P/2R1QRK1 w - - 3 18,-1.31,-1.36,0.997,0.0,target,opening,val
4k3/2R5/8/p3K1N1/6PP/8/6r1/8 w - - 1 50,5.51,5.74,9.609,0.0,target,endgame,train
8/8/p1b5/P4KB1/6p1/5p1k/5P1P/8 w - - 1 75,0.0,0.0,-0.425,0.0,crowded_safe,adveg,train
5k2/1R3n2/1p6/2p4P/2P1Nnp1/1P6/P4PP1/6K1 w - - 3 42,2.36,6.21,9.409,0.0,target,endgame,train
8/5Q2/1kn3N1/5pPp/P2b4/6PK/8/2r5 w - - 11 73,2.37,3.82,7.167,0.0,target,endgame,val
5rk1/1p1qbppp/2n5/r3p3/p1PpN1PP/B2b1P2/PQ1N2B1/2R1K2R b K - 0 21,-1.8,1.14,-0.594,-1.8,ks_real,opening,train
8/8/p4p1p/P1Kpk2P/1p3pP1/1P3P2/8/8 b - - 0 50,0.0,0.0,-1.51,0.0,crowded_safe,adveg,train
8/8/p2B4/P2b4/3K2p1/5p2/5PkP/8 b - - 30 89,0.0,0.0,-0.333,0.0,crowded_safe,adveg,train
4q1k1/6b1/1pr2pp1/p7/P1p1pQ2/2B1P2P/6R1/5RK1 w - - 8 47,1.44,4.44,4.804,1.44,ks_real,midgame,val
5rkr/5p1p/1n1NpR1n/p2pP2q/p3P1p1/B1P3RP/6Q1/6K1 b - - 1 31,1.88,0.7,-2.949,0.0,target,opening,train
8/8/p4p1p/P2pk2P/1P3pP1/2K2P2/8/8 b - - 0 53,0.0,0.0,0.062,0.0,crowded_safe,adveg,train
3k4/8/2PK4/8/7N/6P1/8/8 b - - 2 65,1.38,6.45,13.418,0.0,target,adveg,train
1n6/p1r4k/1p1R2R1/2p1PP1p/2P5/2P5/P4KPP/8 b - - 0 41,4.65,7.91,11.791,0.0,target,endgame,train
8/8/p4p1p/P1kp4/1p3pPP/1P1K1P2/8/8 w - - 5 45,0.0,-1.78,-1.63,0.0,calm,adveg,train
2k5/6p1/4pp1p/5b2/PPP5/7P/5PK1/3R4 b - - 0 38,1.04,5.47,6.572,0.0,target,adveg,train
3rnk2/R3R3/1p5p/2p4P/1nP3p1/1N6/PP3PP1/6K1 w - - 0 35,4.54,5.29,6.345,0.0,target,endgame,train
r3k2r/3q2pp/p1n1b3/Bp1p3N/4p3/Q3P3/R5PP/5RK1 w kq - 0 22,3.06,0.87,0.0,3.06,working,opening,train
8/7k/5Q2/8/1K3N2/4P3/8/3q4 b - - 2 85,6.01,3.94,9.346,0.0,target,endgame,train
4k1r1/1p1qp2p/2r1p1p1/p6n/3b4/B1N2QPB/P4P1P/R3R1K1 w - - 0 26,2.52,3.85,7.643,2.52,ks_phantom,opening,train
8/3K3k/4P3/6Q1/5N2/2q5/8/8 b - - 4 93,5.52,5.93,10.644,0.0,target,endgame,train
2r5/3n2b1/p5kp/P2P1N1R/5P2/2P5/1P1K1P2/8 w - - 1 32,2.23,0.12,3.375,0.0,target,endgame,val
r5k1/1p1R2pr/1qp1P1p1/8/p3PP1p/P1Q4P/1P3RP1/6K1 w - - 0 29,1.44,4.51,4.102,1.44,ks_real,midgame,train
rnbqk2r/pppp2pp/2n5/1Q6/4P3/2N5/PP3PPP/R1B1K1NR b KQ - 2 9,2.09,2.04,0.74,0.0,target,opening,train
8/8/P6p/3kppp1/8/1PK2P2/6PP/8 w - - 0 44,0.0,5.31,3.146,0.0,calm,adveg,train
2nR4/2P5/4k3/8/1p1P4/1P4K1/8/8 w - - 3 54,1.17,6.7,12.587,0.0,target,adveg,val
8/2R1n1r1/1k3b1p/p2p1p1P/P3pB2/6P1/8/2K5 b - - 2 37,2.25,-6.07,-10.932,0.0,target,endgame,train
5R2/8/4k2p/3N2p1/2Pb4/1P6/5PPP/6K1 b - - 3 42,0.0,7.33,14.326,0.0,calm,adveg,train
2b4k/5r1p/p1p1p3/2Q1R3/P4pPq/3P1P2/1PP3K1/R7 w - - 1 29,-4.14,3.53,-2.467,-4.14,working,midgame,train
8/8/8/3p1pKP/5P2/5P2/pk6/7R w - - 0 40,1.09,7.26,9.398,0.0,target,adveg,train
r5r1/p4p1p/4p3/1pkn2B1/4R2P/2P3P1/PK3P2/3R4 w - - 0 24,0.0,0.1,0.78,0.0,crowded_safe,endgame,train
rn2k3/3p1pr1/pq4p1/2pBP1bp/4Q2P/1P3PP1/1BN3K1/R7 b q - 1 23,1.47,3.26,-2.845,0.0,target,midgame,val
8/8/5K2/1k1Np1p1/1P2P1Pp/4P2P/8/8 b - - 0 65,2.0,8.27,12.533,0.0,target,adveg,train
8/3B1N1k/6pP/5p2/4p3/2r5/5K2/8 b - - 3 60,-2.2,-1.94,-1.836,0.0,target,adveg,train
rn2k3/3p1pr1/pq4p1/2pBP1bp/5Q1P/1P3PP1/1BN3K1/R7 w q - 0 23,1.62,3.29,-1.13,1.62,working,midgame,train
1r3b1r/3k2pp/p2ppq2/1Np1n3/2P2N2/8/PP4PP/R1BQR1K1 w - - 0 16,1.62,4.51,6.671,1.62,ks_phantom,opening,val
8/5N1k/4B1pP/5p2/4p3/4P3/1r6/5K2 w - - 8 48,-1.64,-0.15,1.453,0.0,target,adveg,train
1k1rb3/4R3/2pP4/2B5/2PK2p1/8/5PP1/8 b - - 2 60,3.41,4.21,5.659,0.0,target,endgame,train
8/1pk5/1pr1p1p1/2p1Pp2/7r/PRKp3p/3N3P/1R6 w - - 1 39,0.0,0.05,-4.084,0.0,crowded_safe,endgame,train
8/1p1kpp1p/1B1p2p1/4b1K1/4Pn1P/r5P1/2r5/3R1R2 b - - 3 25,0.0,-7.96,-10.915,0.0,calm,endgame,train
r3k2r/6q1/2nppn2/p1p1p2p/2N1P1pP/P1PP2B1/3Q1PP1/R4RK1 b kq - 1 21,1.58,2.39,-0.162,0.0,target,opening,train
rnbqk2r/pp2bp1p/4pnp1/8/2BN4/1QN1P3/PP3PPP/R1B2RK1 b kq - 2 9,1.44,0.55,3.058,1.44,ks_phantom,opening,train
8/1pk5/1pr1p3/2p1Ppp1/r1N5/P1K4p/1R5P/3R4 b - - 0 43,0.0,0.42,-2.008,0.0,crowded_safe,endgame,val
6k1/3R4/8/1p1p4/1r1P1N1p/4PP1P/3K2P1/8 w - - 0 56,2.72,5.9,11.077,0.0,target,endgame,train
2R5/5k1p/8/1p2BP2/5p2/3nbK2/PP5P/8 w - - 6 36,4.15,5.59,5.439,0.0,target,endgame,train
6k1/pR4pp/8/8/4r3/8/PP3r1P/1bK4R b - - 1 27,-2.54,-5.06,-6.641,0.0,target,endgame,val
8/p7/1p6/3pkPp1/P7/1PP1K2p/7P/8 b - - 0 45,0.0,-1.72,0.02,0.0,calm,adveg,val
8/1k6/3R4/4p1p1/4p3/Pb2K2P/6P1/8 w - - 0 43,1.76,5.47,3.957,0.0,target,adveg,val
3r1rk1/q4p1p/p3p1p1/1p2P2Q/1Pn1BP2/8/P5PP/1R2R2K w - - 0 31,1.26,-1.33,1.624,1.26,ks_real,midgame,train
8/r5k1/1P2KN1p/3R3P/p4PP1/P1r5/8/8 b - - 0 68,1.17,4.06,6.059,0.0,target,endgame,train
6k1/1p2rp2/p1n3pQ/8/2N2N2/2P1q2P/PP4P1/3R3K b - - 0 29,2.34,4.5,8.783,2.34,ks_phantom,midgame,val
8/3Q2Kp/8/6Pq/4k3/8/8/8 w - - 16 64,1.31,0.0,1.692,0.0,target,endgame,train
r6r/pp1kbp1p/1n2pn2/1N1p2p1/1P1P4/2P1PNB1/R4PPP/4K2R b K - 8 16,1.47,0.0,4.89,1.47,ks_phantom,midgame,train
r1bqk2r/1p1nbppp/p3pn2/3p4/2PB4/1P1BPN1P/P4PP1/RN1QK2R b KQkq - 0 9,-1.22,-0.26,1.31,0.0,target,opening,train
8/8/3p2kp/3n1p2/2bN4/3RP1P1/1r3r2/2N1K2R w - - 0 39,-1.53,-3.44,-2.992,-1.53,ks_real,endgame,train
r3k2r/p4ppp/b1nbp3/Pq1p4/8/2n2NPB/RpP1PP1P/1N2QK1R w kq - 0 18,-1.44,-3.91,-5.435,0.0,target,opening,val
5K2/7Q/8/3kq1P1/8/8/8/8 b - - 10 76,-1.91,0.0,1.819,0.0,target,endgame,train
6R1/8/4p1p1/3pP1k1/3P2b1/3r4/8/6K1 b - - 3 49,-1.69,-6.39,-9.411,0.0,target,endgame,train
1r4k1/5pp1/7p/3pr2P/P2Qb3/2P5/K7/3B4 b - - 8 58,-2.16,-2.52,-1.028,0.0,target,endgame,val
2k5/1pn3q1/r3p3/p1Q1N1pp/P1P1P3/1P6/5PPP/3R2K1 w - - 1 40,2.76,5.4,7.551,2.76,ks_phantom,midgame,train
8/8/4k3/p1p3P1/2P1KP2/8/P7/8 b - - 0 47,0.0,4.47,7.511,0.0,calm,adveg,train
1r3k2/R4p2/2K5/P4P1p/2p5/2P5/6PP/8 b - - 0 35,-1.1,4.37,5.678,0.0,target,adveg,train
8/8/4p1p1/3pP3/5kb1/1R6/6K1/3r4 b - - 5 52,-3.78,-7.88,-12.374,0.0,target,endgame,train
2r3k1/ppp2p1p/8/8/P2r2P1/1n1P3P/1P3bN1/1RBK4 w - - 1 27,-2.27,-6.14,-8.84,0.0,target,endgame,train
rnb1kb1r/ppq2ppp/4p3/2pN4/3P4/1P2P1P1/P4P1P/R1BQKBNR b KQkq - 0 8,1.62,0.35,3.006,1.62,ks_phantom,opening,train
1nb1kr2/1p2q1bn/r2p2p1/pNpPpp1p/P1P1P2N/R5PP/1PQ2PB1/2B1K2R b K - 2 16,1.62,2.69,1.797,0.0,target,opening,train
1r4k1/5pp1/7p/3pr2P/P3b3/2PQ4/K7/3B4 w - - 7 58,-1.55,-2.42,-0.4,0.0,target,endgame,train
8/3k4/p2b4/1p1P1p1p/6P1/PR1RBKP1/2r1rP2/8 b - - 0 33,-1.49,-2.52,0.493,0.0,target,endgame,train
8/4P3/3nKpk1/3p4/3P2P1/7P/8/8 w - - 0 67,0.0,1.52,5.997,0.0,calm,adveg,train
6k1/5p2/1p2pPp1/3b3p/p6P/P5P1/3K4/r4BR1 b - - 3 35,-2.38,-4.04,-5.427,0.0,target,endgame,val
8/6r1/1k4p1/4N1R1/1p1K2P1/7p/6bP/1R6 b - - 1 44,3.05,5.54,8.139,0.0,target,endgame,train
2r1kb1r/ppq2p1n/b2p2p1/4p3/3nP3/PPN2P1P/2PB3P/R2KQN1R b k - 0 20,-2.16,-7.01,-8.65,-2.16,ks_phantom,opening,train
1Q1n1k2/5p2/4b3/3p2pp/3q4/P3N3/4RPPP/5BK1 b - - 0 43,1.47,6.53,8.466,1.47,ks_phantom,midgame,train
3r1k2/R5n1/1p4qp/2p2p2/1nP4P/1N3Q2/PP3PP1/4R1K1 w - - 1 32,1.98,5.04,7.867,1.98,ks_phantom,midgame,train
r1b4r/1p1nkp1p/3p2p1/1BpPb3/2N1N3/p3P1PP/PP3P2/3RK2R w K - 2 19,1.47,0.52,3.345,1.47,ks_phantom,midgame,val
4r1k1/p3qpbp/r5p1/2p5/4pP2/1R5P/n1NQ4/1K2R3 w - - 0 34,-3.06,-8.23,-15.002,-3.06,ks_phantom,midgame,train
r1b2rk1/pp2ppb1/3q1n1p/1PnNp3/2P2P1N/7P/P1Q2PB1/3R1RK1 w - - 1 22,1.26,-0.59,-4.642,1.26,ks_phantom,opening,train
r1b2rk1/pp2ppb1/5n1p/1PnNq3/2P4N/7P/P1Q2PB1/3RR1K1 b - - 1 23,1.85,-0.74,-4.499,0.0,target,opening,train
1r2r2k/6pp/5p2/8/Pq1p2P1/5P2/5R2/5Q1K w - - 4 49,-2.28,-6.4,-10.322,0.0,target,midgame,train
1k3q1r/ppn3p1/2P3Qp/3nR3/5p2/P7/2BB1PPP/5RK1 w - - 1 28,1.46,6.92,6.541,0.0,target,midgame,train
3r1r1k/p4pp1/2p2n1p/P3q3/1PP2P2/3BP1Pb/3Q3P/1R2K2R b K - 0 20,-1.98,-4.27,-4.762,-1.98,ks_real,midgame,val
1r1qk2r/3b1pp1/p1n1pb1p/3p4/4NQ2/5N2/PP1BBPPP/1R1R2K1 w k - 4 22,1.34,4.67,4.89,0.0,target,opening,train
5k2/5P2/6p1/p4pbp/2K2P1P/P3R1P1/1B5q/8 w - - 0 49,3.4,-3.94,-9.707,0.0,target,endgame,train
2n3k1/5Npr/4ppBp/2B5/1P6/4P3/5PPP/6K1 b - - 0 34,1.83,5.19,7.582,0.0,target,endgame,train
5k2/5P2/6p1/p4pbp/2KB1P1P/P3R1P1/7q/8 b - - 1 49,5.09,-3.43,-8.601,0.0,target,endgame,train
6kr/6p1/1n1BppBp/4N3/8/4P3/1P3PPP/6K1 w - - 4 32,2.45,5.26,6.603,0.0,target,endgame,val
5rk1/5ppp/3p4/3P4/N1r3Pq/4Bb1P/P4P2/R4QK1 w - - 7 24,-1.86,-3.86,3.659,0.0,target,midgame,train
rnbq1rk1/pp3pp1/4p3/P1b4p/2Q4P/2n1PN2/1P3PP1/RN2KB1R w KQ - 0 13,-2.52,0.57,-3.847,-2.52,ks_phantom,opening,val
1k3b1r/2p2q2/3rpPpP/p2p4/NpPQ1P2/1P2B3/P4R2/R5K1 b - - 6 26,3.21,4.52,2.586,0.0,target,midgame,train
8/8/7p/2kNpP2/2P5/2K5/p7/6b1 w - - 0 57,0.0,-3.48,-1.508,0.0,calm,adveg,train
8/p7/2p2pkp/4P1pN/6P1/5N1q/5K2/8 b - - 0 43,-1.08,-6.23,-13.375,0.0,target,endgame,train
8/pp2ppk1/8/2P1P3/P6p/1B5P/4RKb1/7r b - - 8 44,-4.08,-2.44,-2.467,0.0,target,endgame,train
3r4/6kp/6p1/1p2qp2/2p1b3/P3P3/4R1PP/2Q4K w - - 0 29,-1.05,-6.46,-7.927,0.0,target,midgame,val
4q1r1/7k/7b/p1B2pRQ/2pP1P1P/8/7K/8 w - - 4 40,2.94,-0.14,5.502,2.94,ks_phantom,midgame,train
2kr4/1pp2pp1/4p3/p2pP2r/1b3P1q/2N1P3/PPP3QP/R4RK1 w - - 0 17,-1.77,-1.7,0.41,0.0,target,midgame,train
5rk1/3qnppp/8/1r2p3/3p2PP/p2p1P2/P2N4/1QR1KB1R w K - 2 27,-1.62,1.07,-0.555,-1.62,ks_real,midgame,train
8/8/8/1pBkpp2/1P6/1r6/6K1/8 b - - 3 47,-2.24,-6.24,-8.523,0.0,target,adveg,train
2k5/8/8/8/8/3nrP2/6KP/R7 b - - 2 50,-3.54,0.06,-1.678,0.0,target,endgame,train
r4bk1/5ppp/2p5/2P3q1/P7/5P2/2Q2P1P/5K1R b - - 2 27,-1.02,-5.0,-4.059,0.0,target,midgame,train
3k3r/2p3n1/1p1p4/p1PP1p1p/P2P3K/4rPPB/1R6/2R5 b - - 0 38,-1.4,0.62,-0.403,0.0,target,endgame,train
Q1bk2r1/2p1n1b1/pp5p/5P2/3PN3/2P4P/PP4P1/5RK1 w - - 1 31,1.26,8.09,10.676,1.26,ks_phantom,endgame,train
1r2kr2/4p1bp/2n3p1/1p1Q2N1/1n1P4/BP5P/5PP1/5RK1 w - - 1 26,2.52,4.17,7.501,2.52,ks_phantom,midgame,train
3r1knr/3bq1p1/1RpNp1Q1/4Pp1p/3P4/p1NB4/P4PPP/1R4K1 w - - 2 27,1.68,7.45,7.023,0.0,target,opening,train
6k1/R7/5K1p/6p1/5P2/4n1P1/6P1/4B3 w - - 0 53,2.05,9.15,11.475,0.0,target,adveg,train
4k1r1/1p3p2/2q1bp2/p1bp3p/8/P1r2NPP/1Q2PPB1/R2R2K1 w - - 1 23,-1.26,0.06,-0.352,-1.26,ks_real,opening,train
r2qr1k1/1p3ppp/p2pbb2/4p3/2P1n3/1P2QNPP/P4P2/RNB1K2R b KQ - 1 17,-1.15,-4.16,-2.507,0.0,target,opening,val
